Symbol,GICS Sector,environmentScore,socialScore,governanceScore,totalEsg,highestControversy,marketCap,beta,avg_return,volatility,momentum_6m,volatility_norm,totalEsg_norm,risk_score,risk_class
BSX,Health Care,2.36,11.85,8.89,23.11,2.0,122978729984,0.797,0.001451632469024206,0.01194669142556321,0.777657115828424,0.13126684984609,0.46356275303643724,0.2933350086930791,Low
BWA,Consumer Discretionary,2.67,4.21,5.71,12.59,2.0,7493600256,1.182,0.00010290714096279586,0.019819376055310076,-0.03889944911763263,0.4010638579497133,0.15934065934065933,0.5769020510335643,High
BX,Financials,2.52,9.57,11.29,23.39,2.0,188779577344,1.5,0.0017100949404675924,0.02040770498646173,0.8699593556593764,0.42122589832991103,0.47165991902834015,0.46407157138661054,Medium
BXP,Real Estate,2.54,4.52,5.45,12.51,1.0,14431182848,1.199,0.0005909608073529443,0.024608875442921715,0.12909033502797806,0.5652000663543049,0.15702718334297283,0.6763091664753937,High
C,Financials,1.8,13.75,13.69,29.24,4.0,113113464832,1.435,0.000878902053524976,0.015913092762588822,0.3682831162061141,0.26719547699117724,0.6408328513591671,0.3039841456510395,Medium
CAG,Consumer Staples,10.71,15.42,4.7,30.83,2.0,15617014784,0.309,-0.0004471336938568003,0.012471527313348805,-0.19649757167956308,0.14925298277651772,0.6868131868131868,0.2148265149406359,Low
CAH,Health Care,1.17,7.33,6.36,14.86,3.0,27622834176,0.616,0.0010109816810467346,0.013297868048542045,0.4690472603832794,0.17757169088110658,0.22498554077501448,0.41654879821865815,Medium
CAT,Industrials,10.43,17.69,8.06,36.17,4.0,171503566848,1.089,0.001103041569237675,0.017072123349843114,0.4907066260242577,0.30691547079865794,0.8412377096587624,0.2476541986156898,Low
CB,Financials,1.46,11.54,10.61,23.6,2.0,117455929344,0.674,0.0006781259368318082,0.012049369334714682,0.28722193765536913,0.13478562317313658,0.4777327935222673,0.2897782564949751,Low
CBOE,Financials,2.73,7.58,10.64,20.95,1.0,22355052544,0.673,0.0012380944111336789,0.012016882299943006,0.6259003476559168,0.133672292054748,0.4010989010989011,0.31976381479328836,Medium
CBRE,Real Estate,1.46,1.89,4.64,7.98,1.0,36618518528,1.4,0.0010760079749688885,0.017715504713349504,0.46787348044330634,0.32896415877579016,0.02602660497397341,0.5869678532758847,High
CCI,Real Estate,4.08,1.67,4.35,10.1,0.0,52256673792,0.861,-0.0003749581609064155,0.016184614181517634,-0.19008026447538492,0.27650051966826455,0.08733371891266628,0.5309668242358923,High
CCL,Consumer Discretionary,9.4,10.13,4.96,24.49,3.0,23359668224,2.693,0.0021933786434617975,0.030082742833654794,1.0702635425794953,0.7527895754266702,0.5034702139965298,0.6502856596573903,High
CDNS,Information Technology,2.33,4.88,4.81,12.02,0.0,75243003904,1.02,0.00142601285312573,0.01877790153001109,0.6846028169881058,0.365372511965892,0.14285714285714285,0.5620806500366781,High
CDW,Information Technology,2.48,3.21,3.52,9.21,0.0,29830193152,1.033,0.0006712443959279232,0.015462012477980513,0.2569773622329191,0.2517369495732225,0.06159629843840375,0.5264036503685721,High
CE,Materials,14.7,5.86,5.57,26.13,2.0,13741040640,1.294,0.0007586826732513677,0.01859807711148991,0.27701193302395505,0.3592099267255699,0.5508964719491035,0.39516736725570056,Medium
CF,Materials,16.19,7.73,5.42,29.33,1.0,14698166272,0.946,0.00021072336126997323,0.018888225504120254,0.013910914363650752,0.36915331604183405,0.6434355118565644,0.36411778488247465,Medium
CFG,Financials,1.96,10.15,11.43,23.54,2.0,18201001984,1.328,0.0004748131586687311,0.02323811781736471,0.08904630828390515,0.5182241840976827,0.4759976865240023,0.5205354358490086,High
CHD,Consumer Staples,6.89,6.31,6.66,19.86,1.0,25759404032,0.54,0.0005820529129889669,0.011133457521854108,0.2421360817262411,0.10339731303267385,0.3695777906304222,0.31420727156743544,Medium
